Path,Path_Code,Level,Project,Type,Speech_Time,Notes
Persuasive Influence,PI,5,Leading in Your Volunteer Organization,Elective (choose 1),5-7 min,6+ months leading
Persuasive Influence,PI,5,Prepare to Speak Professionally,Elective (choose 1),18-22 min keynote,
Presentation Mastery,PM,1,Ice Breaker,Required,4-6 min,Introductory speech; any topic/style
Presentation Mastery,PM,1,Writing a Speech with Purpose,Required,5-7 min,Speech on any topic with clear purpose
Presentation Mastery,PM,1,Introduction to Vocal Variety and Body Language,Required,5-7 min,"Focus on pitch, tone, volume, pace, gestures"
Presentation Mastery,PM,1,Evaluation and Feedback,Required,Two 5-7 min speeches + evaluator,"Speak, apply feedback in 2nd speech, serve as evaluator"
Presentation Mastery,PM,2,Understanding Your Communication Style,Required,5-7 min,
Presentation Mastery,PM,2,Effective Body Language,Required,5-7 min,Video record and review beforehand
Presentation Mastery,PM,2,Introduction to Toastmasters Mentoring,Required,5-7 min,Speech about a time you were a protégé - required for every path
Presentation Mastery,PM,3,Persuasive Speaking,Required,5-7 min,Deliver a persuasive speech
Presentation Mastery,PM,3,Deliver Social Speeches,Elective (choose 2),Two 3-4 min speeches,"Two social speeches (toast, eulogy, acceptance, etc.)"
Presentation Mastery,PM,3,Using Presentation Software,Elective (choose 2),5-7 min,Speech with slides
Presentation Mastery,PM,3,Connect with Storytelling,Elective (choose 2),5-7 min,Speech that is or uses a story
Presentation Mastery,PM,3,Creating Effective Visual Aids,Elective (choose 2),5-7 min,1-3 visual aids
Presentation Mastery,PM,3,Using Descriptive Language,Elective (choose 2),5-7 min,Emphasis on figurative/literal language
Presentation Mastery,PM,3,Connect with Your Audience,Elective (choose 2),5-7 min,Unfamiliar topic
Presentation Mastery,PM,3,Make Connections Through Networking,Elective (choose 2),5-7 min,Attend networking event
Presentation Mastery,PM,3,Focus on the Positive,Elective (choose 2),2-3 min report OR 5-7 min speech,2-week mood journal
Presentation Mastery,PM,3,Inspire Your Audience,Elective (choose 2),5-7 min,Inspiring/enthusiastic speech
Presentation Mastery,PM,3,Prepare for an Interview,Elective (choose 2),5-7 min role-play,Practice interview with a club member
Presentation Mastery,PM,3,Understanding Vocal Variety,Elective (choose 2),5-7 min,Focus on vocal variety
Presentation Mastery,PM,3,Active Listening,Elective (choose 2),No speech - serve as Topicsmaster,
Presentation Mastery,PM,3,Know Your Sense of Humor,Elective (choose 2),5-7 min,Humorous personal story
Presentation Mastery,PM,3,Researching and Presenting,Elective (choose 2),5-7 min,Well-researched speech on unfamiliar topic
Presentation Mastery,PM,4,Managing a Difficult Audience,Required,5-7 min speech (12-15 min total with role play),Role Play Assignments to club
Presentation Mastery,PM,4,Create a Podcast,Elective (choose 1),60 min recorded + 2-3 min intro speech,Play 5-10 min segment in club
Presentation Mastery,PM,4,Building a Social Media Presence,Elective (choose 1),5-7 min,Build/enhance online presence
Presentation Mastery,PM,4,Write a Compelling Blog,Elective (choose 1),8 blog posts + 2-3 min speech,8 posts in one month
Presentation Mastery,PM,4,Manage Online Meetings,Elective (choose 1),20-25 min online meeting/webinar,No traditional speech
Presentation Mastery,PM,4,Question-and-Answer Session,Elective (choose 1),5-7 min speech + Q&A (15-20 min total),
Presentation Mastery,PM,4,Public Relations Strategies,Elective (choose 1),5-7 min,
Presentation Mastery,PM,4,Manage Projects Successfully,Elective (choose 1),2-3 min plan + 5-7 min experience,
Presentation Mastery,PM,5,Prepare to Speak Professionally,Required,18-22 min keynote,"Longer speech, may include visual aids"
Presentation Mastery,PM,5,Reflect on Your Path,Required,10-12 min,Final project - reflect on your entire path (all paths)
Presentation Mastery,PM,5,Lessons Learned,Elective (choose 1),5-7 min,Facilitate a lessons learned meeting
Presentation Mastery,PM,5,Moderate a Panel Discussion,Elective (choose 1),20-40 min panel discussion,No traditional speech - moderate panel
Presentation Mastery,PM,5,Ethical Leadership,Elective (choose 1),20-40 min panel discussion + Q&A,Ethical framework + moderate panel
Presentation Mastery,PM,5,Leading in Your Volunteer Organization,Elective (choose 1),5-7 min,6+ months leading
Presentation Mastery,PM,5,High Performance Leadership,Elective (choose 1),Two 5-7 min speeches,With guidance committee
Strategic Relationships,SR,1,Ice Breaker,Required,4-6 min,Introductory speech; any topic/style
Strategic Relationships,SR,1,Writing a Speech with Purpose,Required,5-7 min,Speech on any topic with clear purpose
Strategic Relationships,SR,1,Introduction to Vocal Variety and Body Language,Required,5-7 min,"Focus on pitch, tone, volume, pace, gestures"
Strategic Relationships,SR,1,Evaluation and Feedback,Required,Two 5-7 min speeches + evaluator,"Speak, apply feedback in 2nd speech, serve as evaluator"
Strategic Relationships,SR,2,Understanding Your Leadership Style,Required,5-7 min,
Strategic Relationships,SR,2,Active Listening,Required,No speech - serve as Topicsmaster,
Strategic Relationships,SR,2,Introduction to Toastmasters Mentoring,Required,5-7 min,Speech about a time you were a protégé - required for every path
Strategic Relationships,SR,3,Make Connections Through Networking,Required,5-7 min,Attend a networking event
Strategic Relationships,SR,3,Deliver Social Speeches,Elective (choose 2),Two 3-4 min speeches,"Two social speeches (toast, eulogy, acceptance, etc.)"
Strategic Relationships,SR,3,Using Presentation Software,Elective (choose 2),5-7 min,Speech with slides
Strategic Relationships,SR,3,Connect with Storytelling,Elective (choose 2),5-7 min,Speech that is or uses a story
Strategic Relationships,SR,3,Creating Effective Visual Aids,Elective (choose 2),5-7 min,1-3 visual aids
Strategic Relationships,SR,3,Using Descriptive Language,Elective (choose 2),5-7 min,Emphasis on figurative/literal language
Strategic Relationships,SR,3,Connect with Your Audience,Elective (choose 2),5-7 min,Unfamiliar topic
Strategic Relationships,SR,3,Focus on the Positive,Elective (choose 2),2-3 min report OR 5-7 min speech,2-week mood journal
Strategic Relationships,SR,3,Inspire Your Audience,Elective (choose 2),5-7 min,Inspiring/enthusiastic speech
Strategic Relationships,SR,3,Prepare for an Interview,Elective (choose 2),5-7 min role-play,Practice interview with a club member
Strategic Relationships,SR,3,Understanding Vocal Variety,Elective (choose 2),5-7 min,Focus on vocal variety
Strategic Relationships,SR,3,Effective Body Language,Elective (choose 2),5-7 min,Video record beforehand
Strategic Relationships,SR,3,Know Your Sense of Humor,Elective (choose 2),5-7 min,Humorous personal story
Strategic Relationships,SR,3,Researching and Presenting,Elective (choose 2),5-7 min,Well-researched speech on unfamiliar topic
Strategic Relationships,SR,4,Public Relations Strategies,Required,5-7 min,PR plan for real/hypothetical group
Strategic Relationships,SR,4,Create a Podcast,Elective (choose 1),60 min recorded + 2-3 min intro speech,Play 5-10 min segment in club
Strategic Relationships,SR,4,Building a Social Media Presence,Elective (choose 1),5-7 min,Build/enhance online presence
Strategic Relationships,SR,4,Managing a Difficult Audience,Elective (choose 1),5-7 min (12-15 min with role play),
Strategic Relationships,SR,4,Write a Compelling Blog,Elective (choose 1),8 blog posts + 2-3 min speech,8 posts in one month
Strategic Relationships,SR,4,Manage Online Meetings,Elective (choose 1),20-25 min online meeting/webinar,No traditional speech
Strategic Relationships,SR,4,Question-and-Answer Session,Elective (choose 1),5-7 min speech + Q&A (15-20 min total),
Strategic Relationships,SR,4,Manage Projects Successfully,Elective (choose 1),2-3 min plan + 5-7 min experience,
Strategic Relationships,SR,5,Leading in Your Volunteer Organization,Required,5-7 min,6+ months leading + 360° eval + succession plan
Strategic Relationships,SR,5,Reflect on Your Path,Required,10-12 min,Final project - reflect on your entire path (all paths)
Strategic Relationships,SR,5,Lessons Learned,Elective (choose 1),5-7 min,Facilitate a lessons learned meeting
Strategic Relationships,SR,5,Moderate a Panel Discussion,Elective (choose 1),20-40 min panel discussion,No traditional speech - moderate panel
Strategic Relationships,SR,5,Ethical Leadership,Elective (choose 1),20-40 min panel discussion + Q&A,Ethical framework + moderate panel
Strategic Relationships,SR,5,Prepare to Speak Professionally,Elective (choose 1),18-22 min keynote,
Strategic Relationships,SR,5,High Performance Leadership,Elective (choose 1),Two 5-7 min speeches,With guidance committee
Team Collaboration,TC,1,Ice Breaker,Required,4-6 min,Introductory speech; any topic/style
Team Collaboration,TC,1,Writing a Speech with Purpose,Required,5-7 min,Speech on any topic with clear purpose
Team Collaboration,TC,1,Introduction to Vocal Variety and Body Language,Required,5-7 min,"Focus on pitch, tone, volume, pace, gestures"
Team Collaboration,TC,1,Evaluation and Feedback,Required,Two 5-7 min speeches + evaluator,"Speak, apply feedback in 2nd speech, serve as evaluator"
Team Collaboration,TC,2,Understanding Your Leadership Style,Required,5-7 min,
Team Collaboration,TC,2,Active Listening,Required,No speech - serve as Topicsmaster,
Team Collaboration,TC,2,Introduction to Toastmasters Mentoring,Required,5-7 min,Speech about a time you were a protégé - required for every path
Team Collaboration,TC,3,Successful Collaboration,Required,5-7 min,Work with a small team
Team Collaboration,TC,3,Deliver Social Speeches,Elective (choose 2),Two 3-4 min speeches,"Two social speeches (toast, eulogy, acceptance, etc.)"
Team Collaboration,TC,3,Using Presentation Software,Elective (choose 2),5-7 min,Speech with slides
Team Collaboration,TC,3,Connect with Storytelling,Elective (choose 2),5-7 min,Speech that is or uses a story
Team Collaboration,TC,3,Creating Effective Visual Aids,Elective (choose 2),5-7 min,1-3 visual aids
Team Collaboration,TC,3,Using Descriptive Language,Elective (choose 2),5-7 min,Emphasis on figurative/literal language
Team Collaboration,TC,3,Connect with Your Audience,Elective (choose 2),5-7 min,Unfamiliar topic
Team Collaboration,TC,3,Make Connections Through Networking,Elective (choose 2),5-7 min,Attend networking event
Team Collaboration,TC,3,Focus on the Positive,Elective (choose 2),2-3 min report OR 5-7 min speech,2-week mood journal
Team Collaboration,TC,3,Inspire Your Audience,Elective (choose 2),5-7 min,Inspiring/enthusiastic speech
Team Collaboration,TC,3,Prepare for an Interview,Elective (choose 2),5-7 min role-play,Practice interview with a club member
Team Collaboration,TC,3,Understanding Vocal Variety,Elective (choose 2),5-7 min,Focus on vocal variety
Team Collaboration,TC,3,Effective Body Language,Elective (choose 2),5-7 min,Video record beforehand
Team Collaboration,TC,3,Know Your Sense of Humor,Elective (choose 2),5-7 min,Humorous personal story
Team Collaboration,TC,3,Researching and Presenting,Elective (choose 2),5-7 min,Well-researched speech on unfamiliar topic
Team Collaboration,TC,4,Motivate Others,Required,5-7 min,
Team Collaboration,TC,4,Create a Podcast,Elective (choose 1),60 min recorded + 2-3 min intro speech,Play 5-10 min segment in club
Team Collaboration,TC,4,Building a Social Media Presence,Elective (choose 1),5-7 min,Build/enhance online presence
Team Collaboration,TC,4,Managing a Difficult Audience,Elective (choose 1),5-7 min (12-15 min with role play),
Team Collaboration,TC,4,Write a Compelling Blog,Elective (choose 1),8 blog posts + 2-3 min speech,8 posts in one month
Team Collaboration,TC,4,Manage Online Meetings,Elective (choose 1),20-25 min online meeting/webinar,No traditional speech
Team Collaboration,TC,4,Question-and-Answer Session,Elective (choose 1),5-7 min speech + Q&A (15-20 min total),
Team Collaboration,TC,4,Public Relations Strategies,Elective (choose 1),5-7 min,
Team Collaboration,TC,4,Manage Projects Successfully,Elective (choose 1),2-3 min plan + 5-7 min experience,
Team Collaboration,TC,5,Lead in Any Situation,Required,8-10 min,
Team Collaboration,TC,5,Reflect on Your Path,Required,10-12 min,Final project - reflect on your entire path (all paths)
Team Collaboration,TC,5,Lessons Learned,Elective (choose 1),5-7 min,Facilitate a lessons learned meeting
Team Collaboration,TC,5,Moderate a Panel Discussion,Elective (choose 1),20-40 min panel discussion,No traditional speech - moderate panel
Team Collaboration,TC,5,Ethical Leadership,Elective (choose 1),20-40 min panel discussion + Q&A,Ethical framework + moderate panel
Team Collaboration,TC,5,Leading in Your Volunteer Organization,Elective (choose 1),5-7 min,6+ months leading
Team Collaboration,TC,5,Prepare to Speak Professionally,Elective (choose 1),18-22 min keynote,
Team Collaboration,TC,5,High Performance Leadership,Elective (choose 1),Two 5-7 min speeches,With guidance committee
Visionary Communication,VC,1,Ice Breaker,Required,4-6 min,Introductory speech; any topic/style
Visionary Communication,VC,1,Writing a Speech with Purpose,Required,5-7 min,Speech on any topic with clear purpose
Visionary Communication,VC,1,Introduction to Vocal Variety and Body Language,Required,5-7 min,"Focus on pitch, tone, volume, pace, gestures"
Visionary Communication,VC,1,Evaluation and Feedback,Required,Two 5-7 min speeches + evaluator,"Speak, apply feedback in 2nd speech, serve as evaluator"
Visionary Communication,VC,2,Understanding Your Leadership Style,Required,5-7 min,
Visionary Communication,VC,2,Understanding Your Communication Style,Required,5-7 min,
Visionary Communication,VC,2,Introduction to Toastmasters Mentoring,Required,5-7 min,Speech about a time you were a protégé - required for every path
Visionary Communication,VC,3,Develop a Communication Plan,Required,5-7 min,Plan for real or hypothetical event
Visionary Communication,VC,3,Deliver Social Speeches,Elective (choose 2),Two 3-4 min speeches,"Two social speeches (toast, eulogy, acceptance, etc.)"
Visionary Communication,VC,3,Using Presentation Software,Elective (choose 2),5-7 min,Speech with slides
Visionary Communication,VC,3,Connect with Storytelling,Elective (choose 2),5-7 min,Speech that is or uses a story
Visionary Communication,VC,3,Creating Effective Visual Aids,Elective (choose 2),5-7 min,1-3 visual aids
Visionary Communication,VC,3,Using Descriptive Language,Elective (choose 2),5-7 min,Emphasis on figurative/literal language
Visionary Communication,VC,3,Connect with Your Audience,Elective (choose 2),5-7 min,Unfamiliar topic
Visionary Communication,VC,3,Make Connections Through Networking,Elective (choose 2),5-7 min,Attend networking event
Visionary Communication,VC,3,Focus on the Positive,Elective (choose 2),2-3 min report OR 5-7 min speech,2-week mood journal
Visionary Communication,VC,3,Inspire Your Audience,Elective (choose 2),5-7 min,Inspiring/enthusiastic speech
Visionary Communication,VC,3,Prepare for an Interview,Elective (choose 2),5-7 min role-play,Practice interview with a club member
Visionary Communication,VC,3,Understanding Vocal Variety,Elective (choose 2),5-7 min,Focus on vocal variety
Visionary Communication,VC,3,Effective Body Language,Elective (choose 2),5-7 min,Video record beforehand
Visionary Communication,VC,3,Active Listening,Elective (choose 2),No speech - serve as Topicsmaster,
Visionary Communication,VC,3,Know Your Sense of Humor,Elective (choose 2),5-7 min,Humorous personal story
Visionary Communication,VC,3,Researching and Presenting,Elective (choose 2),5-7 min,Well-researched speech on unfamiliar topic
Visionary Communication,VC,4,Communicate Change,Required,5-7 min,Communicate real or hypothetical change
Visionary Communication,VC,4,Create a Podcast,Elective (choose 1),60 min recorded + 2-3 min intro speech,Play 5-10 min segment in club
Visionary Communication,VC,4,Building a Social Media Presence,Elective (choose 1),5-7 min,Build/enhance online presence
Visionary Communication,VC,4,Managing a Difficult Audience,Elective (choose 1),5-7 min (12-15 min with role play),
Visionary Communication,VC,4,Write a Compelling Blog,Elective (choose 1),8 blog posts + 2-3 min speech,8 posts in one month
Visionary Communication,VC,4,Manage Online Meetings,Elective (choose 1),20-25 min online meeting/webinar,No traditional speech
Visionary Communication,VC,4,Question-and-Answer Session,Elective (choose 1),5-7 min speech + Q&A (15-20 min total),
Visionary Communication,VC,4,Public Relations Strategies,Elective (choose 1),5-7 min,
Visionary Communication,VC,4,Manage Projects Successfully,Elective (choose 1),2-3 min plan + 5-7 min experience,
Visionary Communication,VC,5,Develop Your Vision,Required,Two 5-7 min speeches,Idea Map + Goal Setting + Vision Plan
Visionary Communication,VC,5,Reflect on Your Path,Required,10-12 min,Final project - reflect on your entire path (all paths)
Visionary Communication,VC,5,Lessons Learned,Elective (choose 1),5-7 min,Facilitate a lessons learned meeting
Visionary Communication,VC,5,Moderate a Panel Discussion,Elective (choose 1),20-40 min panel discussion,No traditional speech - moderate panel
Visionary Communication,VC,5,Ethical Leadership,Elective (choose 1),20-40 min panel discussion + Q&A,Ethical framework + moderate panel
Visionary Communication,VC,5,Leading in Your Volunteer Organization,Elective (choose 1),5-7 min,6+ months leading
Visionary Communication,VC,5,Prepare to Speak Professionally,Elective (choose 1),18-22 min keynote,
Visionary Communication,VC,5,High Performance Leadership,Elective (choose 1),Two 5-7 min speeches,With guidance committee
